NUTS2024,NUTS2021,NUTS2016,NUTS2013,NUTS2010,NUTS2006,NUTS2003,NUTS1999
ES531,ES531,ES531,ES531,ES531,ES531,ES530,ES53
ES531,ES531,ES531,ES531,ES531,ES531,ES530,ES53
ES532,ES532,ES532,ES532,ES532,ES532,ES530,ES53
ES532,ES532,ES532,ES532,ES532,ES532,ES530,ES53
ES533,ES533,ES533,ES533,ES533,ES533,ES530,ES53
ES533,ES533,ES533,ES533,ES533,ES533,ES530,ES53
ES611,ES611,ES611,ES611,ES611,ES611,ES611,ES611
ES612,ES612,ES612,ES612,ES612,ES612,ES612,ES612
ES613,ES613,ES613,ES613,ES613,ES613,ES613,ES613
ES614,ES614,ES614,ES614,ES614,ES614,ES614,ES614
ES615,ES615,ES615,ES615,ES615,ES615,ES615,ES615
ES616,ES616,ES616,ES616,ES616,ES616,ES616,ES616
ES617,ES617,ES617,ES617,ES617,ES617,ES617,ES617
ES618,ES618,ES618,ES618,ES618,ES618,ES618,ES618
ES620,ES620,ES620,ES620,ES620,ES620,ES620,ES62
ES620,ES620,ES620,ES620,ES620,ES620,ES620,ES62
ES630,ES630,ES630,ES630,ES630,ES630,ES630,ES631
ES640,ES640,ES640,ES640,ES640,ES640,ES640,ES632
ES703,ES703,ES703,ES703,ES703,ES703,ES702,ES702
ES704,ES704,ES704,ES704,ES704,ES704,ES701,ES701
ES705,ES705,ES705,ES705,ES705,ES705,ES701,ES701
ES706,ES706,ES706,ES706,ES706,ES706,ES702,ES702
ES707,ES707,ES707,ES707,ES707,ES707,ES702,ES702
ES708,ES708,ES708,ES708,ES708,ES708,ES701,ES701
ES709,ES709,ES709,ES709,ES709,ES709,ES702,ES702
ESZZZ,ESZZZ,ESZZZ,ESZZZ,ESZZZ,ESZZZ,ESZZZ,NA
FI196,FI196,FI196,FI196,FI196,FI196,NA,NA
FI1B1,FI1B1,FI1B1,FI1B1,FI1B1,FI181,FI181,FI161
FI1B1,FI1B1,FI1B1,FI1B1,FI1B1,FI182,FI182,FI162
FI1C1,FI1C1,FI1C1,FI1C1,FI1C1,FI183,FI183,FI171
FI1C2,FI1C2,FI1C2,FI1C2,FI1C2,FI184,FI184,FI173
FI1C5,FI1C5,FI1C5,FI1C5,FI1C5,FI187,FI187,FI177
FI1D5,FI1D5,FI1D5,FI1D5,FI1D5,FI1A1,FI1A1,FI144
FI1D7,FI1D7,FI1D7,FI1D7,FI1D7,FI1A3,FI1A3,FI152
FI1D8,FI1D8,FI1D8,FI1D4,FI1D4,FI134,FI134,FI134
FI1D9,FI1D9,FI1D9,FI1D6,FI1D6,FI1A2,FI1A2,FI151
FI200,FI200,FI200,FI200,FI200,FI200,FI200,FI2
FI200,FI200,FI200,FI200,FI200,FI200,FI200,FI2
FI200,FI200,FI200,FI200,FI200,FI200,FI200,FI2
FIZZZ,FIZZZ,FIZZZ,FIZZZ,FIZZZ,FIZZZ,FIZZZ,NA
FR101,FR101,FR101,FR101,FR101,FR101,FR101,FR101
FR102,FR102,FR102,FR102,FR102,FR102,FR102,FR102
FR103,FR103,FR103,FR103,FR103,FR103,FR103,FR103
FR104,FR104,FR104,FR104,FR104,FR104,FR104,FR104
FR105,FR105,FR105,FR105,FR105,FR105,FR105,FR105
FR106,FR106,FR106,FR106,FR106,FR106,FR106,FR106
FR107,FR107,FR107,FR107,FR107,FR107,FR107,FR107
FR108,FR108,FR108,FR108,FR108,FR108,FR108,FR108
FRB01,FRB01,FRB01,FR241,FR241,FR241,FR241,FR241
FRB02,FRB02,FRB02,FR242,FR242,FR242,FR242,FR242
FRB03,FRB03,FRB03,FR243,FR243,FR243,FR243,FR243
FRB04,FRB04,FRB04,FR244,FR244,FR244,FR244,FR244
FRB05,FRB05,FRB05,FR245,FR245,FR245,FR245,FR245
FRB06,FRB06,FRB06,FR246,FR246,FR246,FR246,FR246
FRC11,FRC11,FRC11,FR261,FR261,FR261,FR261,FR261
FRC12,FRC12,FRC12,FR262,FR262,FR262,FR262,FR262
FRC13,FRC13,FRC13,FR263,FR263,FR263,FR263,FR263
FRC14,FRC14,FRC14,FR264,FR264,FR264,FR264,FR264
FRC21,FRC21,FRC21,FR431,FR431,FR431,FR431,FR431
FRC22,FRC22,FRC22,FR432,FR432,FR432,FR432,FR432
FRC23,FRC23,FRC23,FR433,FR433,FR433,FR433,FR433
FRC24,FRC24,FRC24,FR434,FR434,FR434,FR434,FR434
FRD11,FRD11,FRD11,FR251,FR251,FR251,FR251,FR251
FRD12,FRD12,FRD12,FR252,FR252,FR252,FR252,FR252
FRD13,FRD13,FRD13,FR253,FR253,FR253,FR253,FR253
FRD21,FRD21,FRD21,FR231,FR231,FR231,FR231,FR231
FRD22,FRD22,FRD22,FR232,FR232,FR232,FR232,FR232
FRE11,FRE11,FRE11,FR301,FR301,FR301,FR301,FR301
FRE12,FRE12,FRE12,FR302,FR302,FR302,FR302,FR302
FRE21,FRE21,FRE21,FR221,FR221,FR221,FR221,FR221
FRE22,FRE22,FRE22,FR222,FR222,FR222,FR222,FR222
FRE23,FRE23,FRE23,FR223,FR223,FR223,FR223,FR223
FRF11,FRF11,FRF11,FR421,FR421,FR421,FR421,FR421
FRF12,FRF12,FRF12,FR422,FR422,FR422,FR422,FR422
FRF21,FRF21,FRF21,FR211,FR211,FR211,FR211,FR211
FRF22,FRF22,FRF22,FR212,FR212,FR212,FR212,FR212
FRF23,FRF23,FRF23,FR213,FR213,FR213,FR213,FR213
FRF24,FRF24,FRF24,FR214,FR214,FR214,FR214,FR214
FRF31,FRF31,FRF31,FR411,FR411,FR411,FR411,FR411
FRF32,FRF32,FRF32,FR412,FR412,FR412,FR412,FR412
FRF33,FRF33,FRF33,FR413,FR413,FR413,FR413,FR413
FRF34,FRF34,FRF34,FR414,FR414,FR414,FR414,FR414
FRG01,FRG01,FRG01,FR511,FR511,FR511,FR511,FR511
FRG02,FRG02,FRG02,FR512,FR512,FR512,FR512,FR512
FRG03,FRG03,FRG03,FR513,FR513,FR513,FR513,FR513
FRG04,FRG04,FRG04,FR514,FR514,FR514,FR514,FR514
FRG05,FRG05,FRG05,FR515,FR515,FR515,FR515,FR515
FRH01,FRH01,FRH01,FR521,FR521,FR521,FR521,FR521
FRH02,FRH02,FRH02,FR522,FR522,FR522,FR522,FR522
FRH03,FRH03,FRH03,FR523,FR523,FR523,FR523,FR523
FRH04,FRH04,FRH04,FR524,FR524,FR524,FR524,FR524
FRI11,FRI11,FRI11,FR611,FR611,FR611,FR611,FR611
FRI12,FRI12,FRI12,FR612,FR612,FR612,FR612,FR612
FRI13,FRI13,FRI13,FR613,FR613,FR613,FR613,FR613
FRI14,FRI14,FRI14,FR614,FR614,FR614,FR614,FR614
FRI15,FRI15,FRI15,FR615,FR615,FR615,FR615,FR615
FRI21,FRI21,FRI21,FR631,FR631,FR631,FR631,FR631
FRI22,FRI22,FRI22,FR632,FR632,FR632,FR632,FR632
FRI23,FRI23,FRI23,FR633,FR633,FR633,FR633,FR633
FRI31,FRI31,FRI31,FR531,FR531,FR531,FR531,FR531
FRI32,FRI32,FRI32,FR532,FR532,FR532,FR532,FR532
FRI33,FRI33,FRI33,FR533,FR533,FR533,FR533,FR533
FRI34,FRI34,FRI34,FR534,FR534,FR534,FR534,FR534
FRJ11,FRJ11,FRJ11,FR811,FR811,FR811,FR811,FR811
FRJ12,FRJ12,FRJ12,FR812,FR812,FR812,FR812,FR812
FRJ13,FRJ13,FRJ13,FR813,FR813,FR813,FR813,FR813
FRJ14,FRJ14,FRJ14,FR814,FR814,FR814,FR814,FR814
FRJ15,FRJ15,FRJ15,FR815,FR815,FR815,FR815,FR815
FRJ21,FRJ21,FRJ21,FR621,FR621,FR621,FR621,FR621
FRJ22,FRJ22,FRJ22,FR622,FR622,FR622,FR622,FR622
FRJ23,FRJ23,FRJ23,FR623,FR623,FR623,FR623,FR623
FRJ24,FRJ24,FRJ24,FR624,FR624,FR624,FR624,FR624
FRJ25,FRJ25,FRJ25,FR625,FR625,FR625,FR625,FR625
FRJ26,FRJ26,FRJ26,FR626,FR626,FR626,FR626,FR626
FRJ27,FRJ27,FRJ27,FR627,FR627,FR627,FR627,FR627
FRJ28,FRJ28,FRJ28,FR628,FR628,FR628,FR628,FR628
FRK11,FRK11,FRK11,FR721,FR721,FR721,FR721,FR721
FRK12,FRK12,FRK12,FR722,FR722,FR722,FR722,FR722
FRK13,FRK13,FRK13,FR723,FR723,FR723,FR723,FR723
FRK14,FRK14,FRK14,FR724,FR724,FR724,FR724,FR724
FRK21,FRK21,FRK21,FR711,FR711,FR711,FR711,FR711
FRK22,FRK22,FRK22,FR712,FR712,FR712,FR712,FR712
FRK23,FRK23,FRK23,FR713,FR713,FR713,FR713,FR713
FRK24,FRK24,FRK24,FR714,FR714,FR714,FR714,FR714
FRK25,FRK25,FRK25,FR715,FR715,FR715,FR715,FR715
FRK26,FRK26,FRK26,FR716,FR716,FR716,FR716,FR716
FRK27,FRK27,FRK27,FR717,FR717,FR717,FR717,FR717
FRK28,FRK28,FRK28,FR718,FR718,FR718,FR718,FR718
FRL01,FRL01,FRL01,FR821,FR821,FR821,FR821,FR821
FRL02,FRL02,FRL02,FR822,FR822,FR822,FR822,FR822
FRL03,FRL03,FRL03,FR823,FR823,FR823,FR823,FR823
FRL04,FRL04,FRL04,FR824,FR824,FR824,FR824,FR824
FRL05,FRL05,FRL05,FR825,FR825,FR825,FR825,FR825
FRL06,FRL06,FRL06,FR826,FR826,FR826,FR826,FR826
FRM01,FRM01,FRM01,FR831,FR831,FR831,FR831,FR831
FRM02,FRM02,FRM02,FR832,FR832,FR832,FR832,FR832
FRY10,FRY10,FRY10,FRA10,NA,NA,NA,NA
FRY20,FRY20,FRY20,FRA20,FR920,FR920,FR920,FR92
FRY20,FRY20,FRY20,FRA20,FR920,FR920,FR920,FR92
FRY30,FRY30,FRY30,FRA30,FR930,FR930,FR930,FR93
FRY30,FRY30,FRY30,FRA30,FR930,FR930,FR930,FR93
FRY40,FRY40,FRY40,FRA40,FR940,FR940,FR940,FR94
FRY40,FRY40,FRY40,FRA40,FR940,FR940,FR940,FR94
FRY50,FRY50,FRY50,FRA50,NA,NA,NA,NA
FRZZZ,FRZZZ,FRZZZ,FRZZZ,FRZZZ,FRZZZ,FRZZZ,NA
HR021,HR021,HR047,HR047,HR047,NA,NA,NA
HR022,HR022,HR048,HR048,HR048,NA,NA,NA
HR023,HR023,HR049,HR049,HR049,NA,NA,NA
HR024,HR024,HR04A,HR04A,HR04A,NA,NA,NA
HR025,HR025,HR04B,HR04B,HR04B,NA,NA,NA
HR026,HR026,HR04C,HR04C,HR04C,NA,NA,NA
HR027,HR027,HR04D,HR04D,HR04D,NA,NA,NA
HR028,HR028,HR04E,HR04E,HR04E,NA,NA,NA
HR031,HR031,HR031,HR031,HR031,NA,NA,NA
HR032,HR032,HR032,HR032,HR032,NA,NA,NA
HR033,HR033,HR033,HR033,HR033,NA,NA,NA
HR034,HR034,HR034,HR034,HR034,NA,NA,NA
HR035,HR035,HR035,HR035,HR035,NA,NA,NA
HR036,HR036,HR036,HR036,HR036,NA,NA,NA
HR037,HR037,HR037,HR037,HR037,NA,NA,NA
HR050,HR050,HR041,HR041,HR041,NA,NA,NA
HR061,HR061,HR046,HR046,HR046,NA,NA,NA
HR062,HR062,HR044,HR044,HR044,NA,NA,NA
HR063,HR063,HR045,HR045,HR045,NA,NA,NA
HR064,HR064,HR043,HR043,HR043,NA,NA,NA
HR065,HR065,HR042,HR042,HR042,NA,NA,NA
HRZZZ,HRZZZ,HRZZZ,HRZZZ,HRZZZ,NA,NA,NA
HU110,HU110,HU110,HU101,HU101,HU101,HU101,NA
HU120,HU120,HU120,HU102,HU102,HU102,HU102,NA
HU211,HU211,HU211,HU211,HU211,HU211,HU211,NA
HU212,HU212,HU212,HU212,HU212,HU212,HU212,NA
HU213,HU213,HU213,HU213,HU213,HU213,HU213,NA
HU221,HU221,HU221,HU221,HU221,HU221,HU221,NA
HU222,HU222,HU222,HU222,HU222,HU222,HU222,NA
HU223,HU223,HU223,HU223,HU223,HU223,HU223,NA
HU231,HU231,HU231,HU231,HU231,HU231,HU231,NA
HU232,HU232,HU232,HU232,HU232,HU232,HU232,NA
HU233,HU233,HU233,HU233,HU233,HU233,HU233,NA
HU311,HU311,HU311,HU311,HU311,HU311,HU311,NA
HU312,HU312,HU312,HU312,HU312,HU312,HU312,NA
HU313,HU313,HU313,HU313,HU313,HU313,HU313,NA
HU321,HU321,HU321,HU321,HU321,HU321,HU321,NA
HU322,HU322,HU322,HU322,HU322,HU322,HU322,NA
HU323,HU323,HU323,HU323,HU323,HU323,HU323,NA
HU331,HU331,HU331,HU331,HU331,HU331,HU331,NA
HU332,HU332,HU332,HU332,HU332,HU332,HU332,NA
HU333,HU333,HU333,HU333,HU333,HU333,HU333,NA
HUZZZ,HUZZZ,HUZZZ,HUZZZ,HUZZZ,HUZZZ,HUZZZ,NA
IE041,IE041,IE041,IE011,IE011,IE011,IE011,IE011
IE042,IE042,IE042,IE013,IE013,IE013,IE013,IE013
IE051,IE051,IE051,IE023,IE023,IE023,IE023,IE023
IE052,IE052,IE052,IE024,IE024,IE024,IE024,IE024
IE053,IE053,IE053,IE025,IE025,IE025,IE025,IE025
IE061,IE061,IE061,IE021,IE021,IE021,IE021,IE021
IE062,IE062,IE062,IE022,IE022,IE022,IE022,IE022
IE063,IE063,IE063,IE012,IE012,IE012,IE012,IE012
IEZZZ,IEZZZ,IEZZZ,IEZZZ,IEZZZ,IEZZZ,IEZZZ,NA
ITC11,ITC11,ITC11,ITC11,ITC11,ITC11,ITC11,IT111
ITC12,ITC12,ITC12,ITC12,ITC12,ITC12,ITC12,IT112
ITC13,ITC13,ITC13,ITC13,ITC13,ITC13,ITC13,IT113
ITC14,ITC14,ITC14,ITC14,ITC14,ITC14,ITC14,IT114
ITC15,ITC15,ITC15,ITC15,ITC15,ITC15,ITC15,IT115
ITC16,ITC16,ITC16,ITC16,ITC16,ITC16,ITC16,IT116
ITC17,ITC17,ITC17,ITC17,ITC17,ITC17,ITC17,IT117
ITC18,ITC18,ITC18,ITC18,ITC18,ITC18,ITC18,IT118
ITC20,ITC20,ITC20,ITC20,ITC20,ITC20,ITC20,IT120
ITC31,ITC31,ITC31,ITC31,ITC31,ITC31,ITC31,IT131
ITC32,ITC32,ITC32,ITC32,ITC32,ITC32,ITC32,IT132
ITC33,ITC33,ITC33,ITC33,ITC33,ITC33,ITC33,IT133
ITC34,ITC34,ITC34,ITC34,ITC34,ITC34,ITC34,IT134
ITC41,ITC41,ITC41,ITC41,ITC41,ITC41,ITC41,IT201
ITC42,ITC42,ITC42,ITC42,ITC42,ITC42,ITC42,IT202
ITC43,ITC43,ITC43,ITC43,ITC43,ITC43,ITC43,IT203
ITC44,ITC44,ITC44,ITC44,ITC44,ITC44,ITC44,IT204
ITC46,ITC46,ITC46,ITC46,ITC46,ITC46,ITC46,IT206
ITC47,ITC47,ITC47,ITC47,ITC47,ITC47,ITC47,IT207
ITC48,ITC48,ITC48,ITC48,ITC48,ITC48,ITC48,IT208
ITC49,ITC49,ITC49,ITC49,ITC49,ITC49,ITC49,IT209
ITC4A,ITC4A,ITC4A,ITC4A,ITC4A,ITC4A,ITC4A,IT20A
ITC4B,ITC4B,ITC4B,ITC4B,ITC4B,ITC4B,ITC4B,IT20B
ITC4C,ITC4C,ITC4C,ITC4C,ITC4C,ITC45,ITC45,IT205
ITC4D,ITC4D,ITC4D,ITC4D,ITC4D,ITC45,ITC45,IT205
ITF11,ITF11,ITF11,ITF11,ITF11,ITF11,ITF11,IT711
ITF12,ITF12,ITF12,ITF12,ITF12,ITF12,ITF12,IT712
ITF13,ITF13,ITF13,ITF13,ITF13,ITF13,ITF13,IT713
ITF14,ITF14,ITF14,ITF14,ITF14,ITF14,ITF14,IT714
ITF21,ITF21,ITF21,ITF21,ITF21,ITF21,ITF21,IT721
ITF22,ITF22,ITF22,ITF22,ITF22,ITF22,ITF22,IT722
ITF31,ITF31,ITF31,ITF31,ITF31,ITF31,ITF31,IT801
ITF32,ITF32,ITF32,ITF32,ITF32,ITF32,ITF32,IT802
ITF33,ITF33,ITF33,ITF33,ITF33,ITF33,ITF33,IT803
ITF34,ITF34,ITF34,ITF34,ITF34,ITF34,ITF34,IT804
ITF35,ITF35,ITF35,ITF35,ITF35,ITF35,ITF35,IT805
ITF43,ITF43,ITF43,ITF43,ITF43,ITF43,ITF43,IT913
ITF44,ITF44,ITF44,ITF44,ITF44,ITF44,ITF44,IT914
ITF45,ITF45,ITF45,ITF45,ITF45,ITF45,ITF45,IT915
ITF46,ITF46,ITF46,ITF46,ITF46,NA,NA,NA
ITF47,ITF47,ITF47,ITF47,ITF47,NA,NA,NA
ITF48,ITF48,ITF48,ITF48,ITF48,NA,NA,NA
ITF51,ITF51,ITF51,ITF51,ITF51,ITF51,ITF51,IT921
ITF52,ITF52,ITF52,ITF52,ITF52,ITF52,ITF52,IT922
ITF61,ITF61,ITF61,ITF61,ITF61,ITF61,ITF61,IT931
ITF62,ITF62,ITF62,ITF62,ITF62,ITF62,ITF62,IT932
ITF63,ITF63,ITF63,ITF63,ITF63,ITF63,ITF63,IT933
ITF64,ITF64,ITF64,ITF64,ITF64,ITF64,ITF64,IT934
ITF65,ITF65,ITF65,ITF65,ITF65,ITF65,ITF65,IT935
ITG11,ITG11,ITG11,ITG11,ITG11,ITG11,ITG11,ITA01
ITG12,ITG12,ITG12,ITG12,ITG12,ITG12,ITG12,ITA02
ITG13,ITG13,ITG13,ITG13,ITG13,ITG13,ITG13,ITA03
ITG14,ITG14,ITG14,ITG14,ITG14,ITG14,ITG14,ITA04
ITG15,ITG15,ITG15,ITG15,ITG15,ITG15,ITG15,ITA05
ITG16,ITG16,ITG16,ITG16,ITG16,ITG16,ITG16,ITA06
ITG17,ITG17,ITG17,ITG17,ITG17,ITG17,ITG17,ITA07
ITG18,ITG18,ITG18,ITG18,ITG18,ITG18,ITG18,ITA08
ITG19,ITG19,ITG19,ITG19,ITG19,ITG19,ITG19,ITA09
ITG2D,ITG2D,ITG25,ITG25,ITG25,ITG25,ITG21,ITB01
ITG2E,ITG2E,ITG26,ITG26,ITG26,ITG26,NA,NA
ITG2F,ITG2F,ITG27,ITG27,ITG27,ITG27,ITG24,ITB04
ITG2G,ITG2G,ITG28,ITG28,ITG28,ITG28,NA,NA
ITG2H,ITG2H,NA,NA,NA,NA,NA,NA
ITH10,ITH10,ITH10,ITH10,ITH10,ITD10,ITD10,IT311
ITH20,ITH20,ITH20,ITH20,ITH20,ITD20,ITD20,IT312
ITH31,ITH31,ITH31,ITH31,ITH31,ITD31,ITD31,IT321
ITH32,ITH32,ITH32,ITH32,ITH32,ITD32,ITD32,IT322
ITH33,ITH33,ITH33,ITH33,ITH33,ITD33,ITD33,IT323
ITH34,ITH34,ITH34,ITH34,ITH34,ITD34,ITD34,IT324
ITH35,ITH35,ITH35,ITH35,ITH35,ITD35,ITD35,IT325
ITH36,ITH36,ITH36,ITH36,ITH36,ITD36,ITD36,IT326
ITH37,ITH37,ITH37,ITH37,ITH37,ITD37,ITD37,IT327
ITH41,ITH41,ITH41,ITH41,ITH41,ITD41,ITD41,IT331
ITH42,ITH42,ITH42,ITH42,ITH42,ITD42,ITD42,IT332
ITH43,ITH43,ITH43,ITH43,ITH43,ITD43,ITD43,IT333
ITH44,ITH44,ITH44,ITH44,ITH44,ITD44,ITD44,IT334
ITH51,ITH51,ITH51,ITH51,ITH51,ITD51,ITD51,IT401
ITH52,ITH52,ITH52,ITH52,ITH52,ITD52,ITD52,IT402
ITH53,ITH53,ITH53,ITH53,ITH53,ITD53,ITD53,IT403
ITH54,ITH54,ITH54,ITH54,ITH54,ITD54,ITD54,IT404
ITH55,ITH55,ITH55,ITH55,ITH55,ITD55,ITD55,IT405
ITH56,ITH56,ITH56,ITH56,ITH56,ITD56,ITD56,IT406
ITH57,ITH57,ITH57,ITH57,ITH57,ITD57,ITD57,IT407
ITH58,ITH58,ITH58,ITH58,ITH58,ITD58,ITD58,IT408
ITH59,ITH59,ITH59,ITH59,ITH59,NA,NA,NA
ITI11,ITI11,ITI11,ITI11,ITI11,ITE11,ITE11,IT511
ITI12,ITI12,ITI12,ITI12,ITI12,ITE12,ITE12,IT512
ITI13,ITI13,ITI13,ITI13,ITI13,ITE13,ITE13,IT513
ITI14,ITI14,ITI14,ITI14,ITI14,ITE14,ITE14,IT514
ITI15,ITI15,ITI15,ITI15,ITI15,ITE15,ITE15,IT515
ITI16,ITI16,ITI16,ITI16,ITI16,ITE16,ITE16,IT516
ITI17,ITI17,ITI17,ITI17,ITI17,ITE17,ITE17,IT517
ITI18,ITI18,ITI18,ITI18,ITI18,ITE18,ITE18,IT518
ITI19,ITI19,ITI19,ITI19,ITI19,ITE19,ITE19,IT519
ITI1A,ITI1A,ITI1A,ITI1A,ITI1A,ITE1A,ITE1A,IT51A
ITI21,ITI21,ITI21,ITI21,ITI21,ITE21,ITE21,IT521
ITI22,ITI22,ITI22,ITI22,ITI22,ITE22,ITE22,IT522
ITI31,ITI31,ITI31,ITI31,ITI31,NA,NA,NA
ITI32,ITI32,ITI32,ITI32,ITI32,ITE32,ITE32,IT532
ITI33,ITI33,ITI33,ITI33,ITI33,ITE33,ITE33,IT533
ITI34,ITI34,ITI34,ITI34,ITI34,ITE34,ITE34,IT534
ITI35,ITI35,ITI35,ITI35,ITI35,ITE34,ITE34,IT534
ITI41,ITI41,ITI41,ITI41,ITI41,ITE41,ITE41,IT601
ITI42,ITI42,ITI42,ITI42,ITI42,ITE42,ITE42,IT602
ITI43,ITI43,ITI43,ITI43,ITI43,ITE43,ITE43,IT603
ITI44,ITI44,ITI44,ITI44,ITI44,ITE44,ITE44,IT604
ITI45,ITI45,ITI45,ITI45,ITI45,ITE45,ITE45,IT605
ITZZZ,ITZZZ,ITZZZ,ITZZZ,ITZZZ,ITZZZ,ITZZZ,NA
LT011,LT011,LT011,LT00A,LT00A,LT00A,LT00A,NA
LT021,LT021,LT021,LT001,LT001,LT001,LT001,NA
LT022,LT022,LT022,LT002,LT002,LT002,LT002,NA
LT023,LT023,LT023,LT003,LT003,LT003,LT003,NA
LT024,LT024,LT024,LT004,LT004,LT004,LT004,NA
LT025,LT025,LT025,LT005,LT005,LT005,LT005,NA
LT026,LT026,LT026,LT006,LT006,LT006,LT006,NA
LT027,LT027,LT027,LT007,LT007,LT007,LT007,NA
LT028,LT028,LT028,LT008,LT008,LT008,LT008,NA
LT029,LT029,LT029,LT009,LT009,LT009,LT009,NA
LTZZZ,LTZZZ,LTZZZ,LTZZZ,LTZZZ,LTZZZ,LTZZZ,NA
LU000,LU000,LU000,LU000,LU000,LU000,LU000,LU
LU000,LU000,LU000,LU000,LU000,LU000,LU000,LU
LU000,LU000,LU000,LU000,LU000,LU000,LU000,LU
LU000,LU000,LU000,LU000,LU000,LU000,LU000,LU
LUZZZ,LUZZZ,LUZZZ,LUZZZ,LUZZZ,LUZZZ,LUZZZ,NA
LV005,LV005,LV005,LV005,LV005,LV005,LV005,NA
LV009,LV009,LV009,LV009,LV009,LV009,LV009,NA
LVZZZ,LVZZZ,LVZZZ,LVZZZ,LVZZZ,LVZZZ,LVZZZ,NA
MT001,MT001,MT001,MT001,MT001,MT001,MT001,NA
MT002,MT002,MT002,MT002,MT002,MT002,MT002,NA
MTZZZ,MTZZZ,MTZZZ,MTZZZ,MTZZZ,MTZZZ,MTZZZ,NA
NL112,NL112,NL112,NL112,NL112,NL112,NL112,NL112
NL126,NL126,NL126,NL123,NL123,NL123,NL123,NL123
NL131,NL131,NL131,NL131,NL131,NL131,NL131,NL131
NL132,NL132,NL132,NL132,NL132,NL132,NL132,NL132
NL133,NL133,NL133,NL133,NL133,NL133,NL133,NL133
NL211,NL211,NL211,NL211,NL211,NL211,NL211,NL211
NL212,NL212,NL212,NL212,NL212,NL212,NL212,NL212
NL213,NL213,NL213,NL213,NL213,NL213,NL213,NL213
NL221,NL221,NL221,NL221,NL221,NL221,NL221,NL221
NL224,NL224,NL224,NL224,NL224,NL224,NL224,NL224
NL225,NL225,NL225,NL225,NL225,NL225,NA,NA
NL226,NL226,NL226,NL226,NL226,NL226,NA,NA
NL230,NL230,NL230,NL230,NL230,NL230,NL230,NL23
NL230,NL230,NL230,NL230,NL230,NL230,NL230,NL23
NL321,NL321,NL321,NL321,NL321,NL321,NL321,NL321
NL323,NL323,NL323,NL323,NL323,NL323,NL323,NL323
NL325,NL325,NL325,NL325,NL325,NL325,NL325,NL325
NL327,NL327,NL327,NL327,NL327,NL327,NL327,NL327
NL328,NL328,NL328,NL322,NL322,NL322,NL322,NL322
NL341,NL341,NL341,NL341,NL341,NL341,NL341,NL341
NL342,NL342,NL342,NL342,NL342,NL342,NL342,NL342
NL361,NL332,NL332,NL332,NL332,NL332,NL332,NL332
NL362,NL333,NL333,NL333,NL333,NL333,NL333,NL333
NL363,NL337,NL337,NL337,NL337,NA,NA,NA
NL365,NL33B,NL33B,NL338,NL338,NA,NA,NA
NL366,NL33C,NL33C,NL339,NL339,NA,NA,NA
NL411,NL411,NL411,NL411,NL411,NL411,NL411,NL411
NL414,NL414,NL414,NL414,NL414,NL414,NL414,NL414
NL421,NL421,NL421,NL421,NL421,NL421,NL421,NL421
NL422,NL422,NL422,NL422,NL422,NL422,NL422,NL422
NL423,NL423,NL423,NL423,NL423,NL423,NL423,NL423
NLZZZ,NLZZZ,NLZZZ,NLZZZ,NLZZZ,NLZZZ,NLZZZ,NA
PL213,PL213,PL213,PL213,PL213,PL213,PL213,NA
PL214,PL214,PL214,PL214,PL214,PL214,NA,NA
PL217,PL217,PL217,PL217,PL217,PL217,NA,NA
PL218,PL218,PL218,PL218,NA,NA,NA,NA
PL219,PL219,PL219,PL219,NA,NA,NA,NA
PL21A,PL21A,PL21A,PL21A,NA,NA,NA,NA
PL224,PL224,PL224,PL224,PL224,PL224,PL224,NA
PL225,PL225,PL225,PL225,PL225,PL225,PL225,NA
PL227,PL227,PL227,PL227,PL227,PL227,PL227,NA
PL228,PL228,PL228,PL228,PL228,PL228,PL226,NA
PL229,PL229,PL229,PL229,PL229,PL229,PL226,NA
PL22A,PL22A,PL22A,PL22A,PL22A,PL22A,PL226,NA
PL22B,PL22B,PL22B,PL22B,PL22B,PL22B,PL226,NA
PL22C,PL22C,PL22C,PL22C,PL22C,PL22C,PL226,NA
PL411,PL411,PL411,PL411,PL411,PL411,PL411,NA
PL414,PL414,PL414,PL414,PL414,PL414,PL414,NA
PL415,PL415,PL415,PL415,PL415,PL415,PL415,NA
PL416,PL416,PL416,PL416,PL416,PL416,NA,NA
PL417,PL417,PL417,PL417,PL417,PL417,NA,NA
PL418,PL418,PL418,PL418,PL418,PL418,NA,NA
PL424,PL424,PL424,PL424,PL424,PL424,PL421,NA
PL426,PL426,PL426,PL426,NA,NA,NA,NA
PL427,PL427,PL427,PL427,NA,NA,NA,NA
PL428,PL428,PL428,PL428,NA,NA,NA,NA
PL431,PL431,PL431,PL431,PL431,PL431,PL431,NA
PL432,PL432,PL432,PL432,PL432,PL432,PL432,NA
PL514,PL514,PL514,PL514,PL514,PL514,PL514,NA
PL515,PL515,PL515,PL515,PL515,PL515,NA,NA
PL516,PL516,PL516,PL516,PL516,PL516,NA,NA
PL517,PL517,PL517,PL517,PL517,PL517,NA,NA
PL518,PL518,PL518,PL518,PL518,PL518,NA,NA
PL523,PL523,PL523,PL523,NA,NA,NA,NA
PL524,PL524,PL524,PL524,NA,NA,NA,NA
PL613,PL613,PL613,PL613,PL613,PL613,NA,NA
PL616,PL616,PL616,PL616,NA,NA,NA,NA
PL617,PL617,PL617,PL617,NA,NA,NA,NA
PL618,PL618,PL618,PL618,NA,NA,NA,NA
